Name,Age,Nationality,Overall,Potential,Club,Preferred Position,CAM,CB,CDM,CF,CM,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
K. Moleko,27,South Africa,65,65,Kaizer Chiefs,RM,61,59,62,60,61,61,64,59,61,62,60,64,57,62,65,61,64,59,61,62,60,64,57,62,65,57
J. Karlsson,28,Sweden,65,65,Jönköpings Södra IF,CB,48,64,60,46,51,48,59,64,51,60,46,50,46,47,58,48,59,64,51,60,46,50,46,47,58,46
M. El Allouchi,22,Morocco,65,71,NAC Breda,CAM,65,54,59,64,64,65,58,54,64,59,64,64,59,64,59,65,58,54,64,59,64,64,59,64,59,59
A. Chambers,36,England,65,65,Walsall,CDM,60,70,70,57,64,60,67,70,64,70,57,60,56,57,66,60,67,70,64,70,57,60,56,57,66,56
M. Bossaerts,20,Belgium,65,72,KV Oostende,CB,48,64,61,46,53,48,60,64,53,61,46,50,47,47,58,48,60,64,53,61,46,50,47,47,58,47
A. Revell,33,England,65,65,Northampton Town,ST,56,46,46,59,52,56,45,46,52,46,59,57,64,57,47,56,45,46,52,46,59,57,64,57,47,64
K. Reid,29,England,65,65,Colchester United,LW,61,42,46,62,56,61,48,42,56,46,62,64,61,63,51,61,48,42,56,46,62,64,61,63,51,61
R. König,34,Germany,65,65,FSV Zwickau,ST,53,45,43,57,50,53,38,45,50,43,57,50,64,52,38,53,38,45,50,43,57,50,64,52,38,64
M. Marrone,30,Australia,65,65,Adelaide United,RB,54,62,62,53,57,54,64,62,57,62,53,58,50,56,64,54,64,62,57,62,53,58,50,56,64,50
N. Đurđić,31,Serbia,65,65,Randers FC,ST,63,49,53,63,60,63,50,49,60,53,63,63,64,63,52,63,50,49,60,53,63,63,64,63,52,64
K. Rindarøy,31,Norway,65,65,Molde FK,LB,59,63,62,59,59,59,64,63,59,62,59,60,58,60,63,59,64,63,59,62,59,60,58,60,63,58
Adri Castellano,23,Spain,65,73,Granada CF,LB,52,62,60,52,54,52,64,62,54,60,52,56,50,54,63,52,64,62,54,60,52,56,50,54,63,50
C. Brown,23,Australia,65,69,Brisbane Roar,LWB,58,62,61,57,58,58,64,62,58,61,57,61,54,60,64,58,64,62,58,61,57,61,54,60,64,54
M. Busch,22,Germany,65,72,1. FC Heidenheim,RM,58,62,61,59,57,58,64,62,57,61,59,62,57,61,65,58,64,62,57,61,59,62,57,61,65,57
E. Álvarez,28,Paraguay,65,65,CD Once Caldas Manizales,ST,57,36,38,61,50,57,36,36,50,38,61,55,64,57,38,57,36,36,50,38,61,55,64,57,38,64
N. Schindelholz,29,Switzerland,65,65,FC Luzern,CB,46,64,59,46,51,46,59,64,51,59,46,47,48,45,57,46,59,64,51,59,46,47,48,45,57,48
B. Smith,23,Australia,65,74,Bournemouth,LWB,58,58,61,57,59,58,64,58,59,61,57,63,53,61,66,58,64,58,59,61,57,63,53,61,66,53
M. Bareiro,22,Argentina,65,76,Defensa y Justicia,CDM,63,64,64,62,64,63,63,64,64,64,62,62,61,61,62,63,63,64,64,64,62,62,61,61,62,61
I. Groothuizen,20,Netherlands,65,75,ADO Den Haag,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
J. González,25,Mexico,65,69,Necaxa,LM,59,62,61,58,59,59,64,62,59,61,58,61,57,60,64,59,64,62,59,61,58,61,57,60,64,57
M. Calzada,27,Uruguay,65,66,Arsenal de Sarandí,CM,63,59,63,61,64,63,63,59,64,63,61,64,57,62,63,63,63,59,64,63,61,64,57,62,63,57
D. Carney,33,Australia,65,65,Sydney FC,LB,63,58,60,63,62,63,62,58,62,60,63,64,61,64,64,63,62,58,62,60,63,64,61,64,64,61
Ayala,24,Spain,65,68,Sint-Truidense VV,LB,50,64,61,48,53,50,64,64,53,61,48,53,48,51,63,50,64,64,53,61,48,53,48,51,63,48
E. Miller,24,United States,65,69,Colorado Rapids,CB,56,63,61,56,56,56,64,63,56,61,56,60,54,58,64,56,64,63,56,61,56,60,54,58,64,54
B. Woodburn,17,Wales,65,85,Liverpool,CAM,64,35,44,64,58,64,44,35,58,44,64,64,62,65,47,64,44,35,58,44,64,64,62,65,47,62
Y. Maruhashi,26,Japan,65,66,Cerezo Osaka,LB,58,57,59,55,57,58,64,57,57,59,55,62,49,60,65,58,64,57,57,59,55,62,49,60,65,49
P. Larsen,28,Norway,65,65,SK Brann,LW,64,64,64,63,64,64,63,64,64,64,63,64,64,63,64,64,63,64,64,64,63,64,64,63,64,64
D. Amankwaa,23,Denmark,65,70,FC København,LM,62,42,46,63,56,62,48,42,56,46,63,64,61,65,51,62,48,42,56,46,63,64,61,65,51,61
S. Balić,27,Montenegro,65,65,Zagłębie Lubin,LB,48,64,58,49,48,48,62,64,48,58,49,51,49,51,60,48,62,64,48,58,49,51,49,51,60,49
R. Framberger,21,Germany,65,75,FC Augsburg,RB,54,62,61,53,56,54,64,62,56,61,53,57,52,55,63,54,64,62,56,61,53,57,52,55,63,52
C. Long,22,England,65,72,Northampton Town,ST,61,40,42,64,54,61,45,40,54,42,64,61,64,63,47,61,45,40,54,42,64,61,64,63,47,64
M. Chemin,31,France,65,65,US Orléans Loiret Football,CB,48,64,61,45,53,48,58,64,53,61,45,48,45,44,56,48,58,64,53,61,45,48,45,44,56,45
N. Sakemoto,32,Japan,65,65,Cerezo Osaka,RB,54,62,60,54,55,54,64,62,55,60,54,57,53,56,63,54,64,62,55,60,54,57,53,56,63,53
K. Haraldseid,23,Norway,65,71,FK Haugesund,RM,62,61,62,61,62,62,64,61,62,62,61,63,60,62,64,62,64,61,62,62,61,63,60,62,64,60
J. Blomberg,30,Sweden,65,65,AIK Solna,RWB,66,53,59,65,64,66,58,53,64,59,65,67,63,66,60,66,58,53,64,59,65,67,63,66,60,63
Y. Mena,27,Colombia,65,65,Atlético Huila,LM,62,42,46,63,57,62,49,42,57,46,63,64,64,64,51,62,49,42,57,46,63,64,64,64,51,64
J. Komar,20,Argentina,65,78,Talleres de Cordoba,CB,40,64,58,41,45,40,59,64,45,58,41,42,46,39,56,40,59,64,45,58,41,42,46,39,56,46
O. Tapiano,25,Chile,65,65,Club de Deportes Temuco,CAM,64,48,52,65,60,64,51,48,60,52,65,63,64,63,52,64,51,48,60,52,65,63,64,63,52,64
R. Manning,21,Republic of Ireland,65,74,Queens Park Rangers,CM,63,61,64,61,64,63,63,61,64,64,61,63,58,62,64,63,63,61,64,64,61,63,58,62,64,58
M. Honsak,20,Austria,65,73,SCR Altach,LM,62,54,55,62,59,62,58,54,59,55,62,64,60,64,59,62,58,54,59,55,62,64,60,64,59,60
Rodrigo,24,Brazil,65,71,CD Aves,RB,57,63,62,55,57,57,64,63,57,62,55,59,51,57,64,57,64,63,57,62,55,59,51,57,64,51
C. Ribeiro,27,Wales,65,66,Oxford United,CB,52,64,59,52,53,52,64,64,53,59,52,56,52,54,63,52,64,64,53,59,52,56,52,54,63,52
T. Rühle,26,Germany,65,65,SC Preußen Münster,ST,63,40,46,64,57,63,46,40,57,46,64,64,63,65,49,63,46,40,57,46,64,64,63,65,49,63
D. Volaš,30,Slovenia,65,65,Sparta Rotterdam,ST,54,40,38,59,48,54,36,40,48,38,59,52,64,55,37,54,36,40,48,38,59,52,64,55,37,64
D. Follonier,23,Switzerland,65,74,FC Luzern,LM,64,38,44,64,58,64,44,38,58,44,64,64,63,65,48,64,44,38,58,44,64,64,63,65,48,63
A. Ogogo,27,England,65,65,Shrewsbury,CDM,62,67,67,62,64,62,67,67,64,67,62,64,62,62,67,62,67,67,64,67,62,64,62,62,67,62
Park Soo Chang,28,Korea Republic,65,65,Sangju Sangmu FC,CAM,61,55,56,63,59,61,57,55,59,56,63,62,64,62,58,61,57,55,59,56,63,62,64,62,58,64
J. Andersen,24,Denmark,65,72,Hammarby IF,LM,64,58,62,63,64,64,61,58,64,62,63,65,62,63,62,64,61,58,64,62,63,65,62,63,62,62
E. Ávila,30,Colombia,65,65,Jaguares Fútbol Club,CB,36,64,54,36,39,36,55,64,39,54,36,38,38,36,52,36,55,64,39,54,36,38,38,36,52,38
S. Skrabb,22,Finland,65,73,IFK Norrköping,LM,64,44,50,65,59,64,49,44,59,50,65,64,64,65,52,64,49,44,59,50,65,64,64,65,52,64
D. Guba,26,Slovakia,65,66,Termalica Bruk-Bet Nieciecza,RM,63,38,45,63,58,63,45,38,58,45,63,64,61,64,49,63,45,38,58,45,63,64,61,64,49,61
V. Fabris,24,Italy,65,68,F.B.C. Unione Venezia,RB,63,62,63,62,64,63,64,62,64,63,62,64,61,63,64,63,64,62,64,63,62,64,61,63,64,61
L. Neagle,30,United States,65,65,Seattle Sounders FC,ST,64,60,59,65,61,64,61,60,61,59,65,64,66,65,61,64,61,60,61,59,65,64,66,65,61,66
A. Al Sulayhim,23,Saudi Arabia,65,70,Al Shabab,LM,65,60,64,63,65,65,63,60,65,64,63,65,60,64,64,65,63,60,65,64,63,65,60,64,64,60
M. Altıntaş,21,Turkey,65,74,Evkur Yeni Malatyaspor,ST,59,45,44,62,52,59,43,45,52,44,62,58,64,60,45,59,43,45,52,44,62,58,64,60,45,64
B. Kamau,22,Australia,65,70,Melbourne City,RW,62,38,44,63,55,62,49,38,55,44,63,65,61,65,51,62,49,38,55,44,63,65,61,65,51,61
S. Mai,23,Germany,65,70,SC Preußen Münster,CB,32,64,53,33,38,32,51,64,38,53,33,33,40,31,47,32,51,64,38,53,33,33,40,31,47,40
E. Birniçan,28,Turkey,65,65,Kasimpaşa SK,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
O. Banks,24,England,65,68,Oldham Athletic,CDM,63,54,59,62,64,63,56,54,64,59,62,63,61,61,58,63,56,54,64,59,62,63,61,61,58,61
J. Al Bishi,30,Saudi Arabia,65,65,Al Taawoun,RB,48,64,60,47,52,48,61,64,52,60,47,51,47,48,60,48,61,64,52,60,47,51,47,48,60,47
J. Oremo,30,Sweden,65,65,Halmstads BK,ST,59,47,48,61,54,59,47,47,54,48,61,58,64,59,48,59,47,47,54,48,61,58,64,59,48,64
S. Bain,25,Scotland,65,71,Dundee FC,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Razak,24,Ivory Coast,65,72,AFC Eskilstuna,CM,64,58,61,62,63,64,60,58,63,61,62,64,58,63,61,64,60,58,63,61,62,64,58,63,61,58
C. Walton,21,England,65,79,Wigan Athletic,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
C. Donis,22,Greece,65,75,Panathinaikos FC,CAM,64,59,63,63,64,64,62,59,64,63,63,65,60,63,63,64,62,59,64,63,63,65,60,63,63,60
M. Tounkara,21,Senegal,65,77,Lazio,ST,62,50,53,63,59,62,52,50,59,53,63,63,64,63,54,62,52,50,59,53,63,63,64,63,54,64
J. Caenepeel,20,Belgium,65,73,Excelsior,ST,62,39,43,64,54,62,47,39,54,43,64,64,64,65,50,62,47,39,54,43,64,64,64,65,50,64
T. Kutumela,23,South Africa,65,69,Orlando Pirates,CAM,60,31,38,64,53,60,39,31,53,38,64,60,64,61,42,60,39,31,53,38,64,60,64,61,42,64
P. Pomykal,17,United States,65,74,FC Dallas,RM,63,41,48,62,58,63,49,41,58,48,62,64,57,64,52,63,49,41,58,48,62,64,57,64,52,57
M. Ligoule,34,France,65,65,US Orléans Loiret Football,CM,60,60,64,57,63,60,61,60,63,64,57,59,54,58,62,60,61,60,63,64,57,59,54,58,62,54
E. Brítez,25,Argentina,65,69,Unión de Santa Fe,RB,53,64,60,54,53,53,64,64,53,60,54,57,54,56,64,53,64,64,53,60,54,57,54,56,64,54
C. Bassogog,21,Cameroon,65,72,,ST,62,40,44,64,54,62,47,40,54,44,64,64,64,65,50,62,47,40,54,44,64,64,64,65,50,64
N. Gunnarsson,26,Norway,65,68,Djurgårdens IF,RB,54,64,62,55,57,54,63,64,57,62,55,57,57,55,62,54,63,64,57,62,55,57,57,55,62,57
C. Valoyes,33,Colombia,65,65,Patriotas Boyacá FC,ST,62,39,45,63,56,62,46,39,56,45,63,63,64,63,48,62,46,39,56,45,63,63,64,63,48,64
E. Córdoba,23,Colombia,65,70,Independiente Medellín,RB,55,61,60,53,56,55,64,61,56,60,53,60,49,56,64,55,64,61,56,60,53,60,49,56,64,49
Oh Chang Hyeon,25,Korea Republic,65,69,Pohang Steelers,LW,64,59,62,62,64,64,60,59,64,62,62,63,60,62,61,64,60,59,64,62,62,63,60,62,61,60
S. Peña,21,Peru,65,71,,RM,64,49,54,63,62,64,55,49,62,54,63,64,61,64,57,64,55,49,62,54,63,64,61,64,57,61
K. Das Neves,31,France,65,65,La Berrichonne de Châteauroux,RB,52,64,64,47,58,52,60,64,58,64,47,50,47,47,58,52,60,64,58,64,47,50,47,47,58,47
N. Rnić,32,Serbia,65,65,Wolfsberger AC,CB,47,64,60,47,52,47,60,64,52,60,47,49,49,47,59,47,60,64,52,60,47,49,49,47,59,49
A. Ježina,28,Croatia,65,66,Royal Antwerp FC,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
B. Rymaniak,27,Poland,65,65,Korona Kielce,RB,52,66,64,51,57,52,64,66,57,64,51,56,52,53,64,52,64,66,57,64,51,56,52,53,64,52
D. Marsura,23,Italy,65,69,F.B.C. Unione Venezia,ST,62,42,45,63,55,62,47,42,55,45,63,63,64,65,50,62,47,42,55,45,63,63,64,65,50,64
D. Poleon,23,England,65,72,Bradford City,LM,62,39,43,64,54,62,42,39,54,43,64,61,64,62,44,62,42,39,54,43,64,61,64,62,44,64
H. Fertoli,22,Argentina,65,74,Newell's Old Boys,LM,63,42,46,63,56,63,48,42,56,46,63,64,62,65,51,63,48,42,56,46,63,64,62,65,51,62
S. Deliktaş,30,Turkey,65,65,Kardemir Karabükspor,ST,60,35,39,63,53,60,41,35,53,39,63,61,64,62,44,60,41,35,53,39,63,61,64,62,44,64
Jhonatan,26,Brazil,65,67,Moreirense FC,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
I. Doumbia,19,Ivory Coast,65,77,SV Zulte-Waregem,CM,58,64,64,56,61,58,63,64,61,64,56,60,53,57,63,58,63,64,61,64,56,60,53,57,63,53
L. Wilson,29,England,65,65,Port Vale,RM,58,61,60,58,58,58,64,61,58,60,58,61,55,59,64,58,64,61,58,60,58,61,55,59,64,55
S. Limbombe,26,Belgium,65,66,Royal Antwerp FC,RM,62,41,46,62,57,62,49,41,57,46,62,64,60,64,51,62,49,41,57,46,62,64,60,64,51,60
F. Sporkslede,23,Netherlands,65,69,NAC Breda,CDM,62,65,66,60,64,62,64,65,64,66,60,61,58,60,64,62,64,65,64,66,60,61,58,60,64,58
A. Díaz,21,Mexico,65,72,Club América,ST,62,41,45,64,56,62,46,41,56,45,64,63,64,64,48,62,46,41,56,45,64,63,64,64,48,64
G. Güzel,30,Turkey,65,65,Medicana Sivasspor,CM,65,60,61,65,64,65,63,60,64,61,65,66,64,66,64,65,63,60,64,61,65,66,64,66,64,64
Nuno Tomás,21,Portugal,65,68,CF Os Belenenses,CB,41,64,55,42,44,41,57,64,44,55,42,43,45,42,54,41,57,64,44,55,42,43,45,42,54,45
K. Cissé,28,Guinea,65,65,Bari,CAM,59,44,45,62,54,59,47,44,54,45,62,61,64,62,49,59,47,44,54,45,62,61,64,62,49,64
C. Townsend,24,England,65,69,Scunthorpe United,LB,59,62,62,57,60,59,64,62,60,62,57,61,54,59,65,59,64,62,60,62,57,61,54,59,65,54
J. Edwards,26,England,65,67,Walsall,CDM,63,64,65,62,64,63,66,64,64,65,62,65,60,63,66,63,66,64,64,65,62,65,60,63,66,60
L. Woodberry,26,United States,65,67,New England Revolution,CB,57,65,62,57,58,57,64,65,58,62,57,60,56,58,64,57,64,65,58,62,57,60,56,58,64,56
M. Bayır,28,Turkey,65,65,Osmanlıspor,LB,57,59,60,57,58,57,64,59,58,60,57,61,52,59,65,57,64,59,58,60,57,61,52,59,65,52
Frédéric Maciel,23,Portugal,65,71,Moreirense FC,LW,62,38,43,64,55,62,46,38,55,43,64,63,63,65,48,62,46,38,55,43,64,63,63,65,48,63
P. Aquino,22,Peru,65,71,Lobos de la BUAP,CDM,56,63,64,55,59,56,62,63,59,64,55,56,54,54,61,56,62,63,59,64,55,56,54,54,61,54
Javi Jiménez,20,Spain,65,73,Valencia CF,CB,47,64,61,44,52,47,61,64,52,61,44,47,44,45,58,47,61,64,52,61,44,47,44,45,58,44
J. Lopy,25,Senegal,65,69,Clermont Foot 63,CDM,60,68,69,57,64,60,67,68,64,69,57,60,54,58,66,60,67,68,64,69,57,60,54,58,66,54
Kim Chi Woo,33,Korea Republic,65,65,FC Seoul,LM,63,63,64,61,64,63,64,63,64,64,61,63,59,62,64,63,64,63,64,64,61,63,59,62,64,59
J. Forte,30,Barbados,65,65,Notts County,LM,62,42,47,64,56,62,49,42,56,47,64,65,64,65,51,62,49,42,56,47,64,65,64,65,51,64
F. Aursnes,21,Norway,65,75,Molde FK,CM,63,61,64,62,64,63,64,61,64,64,62,65,59,63,66,63,64,61,64,64,62,65,59,63,66,59
K. Finnbogason,30,Iceland,65,65,AC Horsens,ST,57,41,42,61,51,57,40,41,51,42,61,56,64,58,42,57,40,41,51,42,61,56,64,58,42,64
Álvaro Arencibia,23,Spain,65,73,UD Las Palmas,CDM,52,63,62,51,56,52,64,63,56,62,51,57,51,54,64,52,64,63,56,62,51,57,51,54,64,51
A. Legzdins,30,England,65,65,Burnley,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
H. Hauksson,25,Iceland,65,68,AIK Solna,RWB,55,64,63,55,57,55,64,64,57,63,55,59,55,57,64,55,64,64,57,63,55,59,55,57,64,55
J. Stojanović,25,Serbia,65,69,KV Kortrijk,RM,64,52,55,63,63,64,53,52,63,55,63,63,64,62,54,64,53,52,63,55,63,63,64,62,54,64
F. Vanzo,23,Belgium,65,71,Waasland-Beveren,CM,64,57,58,64,62,64,58,57,62,58,64,64,63,64,59,64,58,57,62,58,64,64,63,64,59,63
Kim Jae Sung,33,Korea Republic,65,65,Jeonnam Dragons,CDM,64,61,63,63,64,64,62,61,64,63,63,63,62,63,63,64,62,61,64,63,63,63,62,63,63,62
Y. Nakasaka,19,Japan,65,79,Vissel Kobe,CM,64,49,54,64,61,64,56,49,61,54,64,66,64,65,58,64,56,49,61,54,64,66,64,65,58,64
D. Rose,23,England,65,72,Mansfield Town,ST,63,40,45,64,57,63,46,40,57,45,64,62,64,63,48,63,46,40,57,45,64,62,64,63,48,64
S. Asamoah,23,Ghana,65,69,Sint-Truidense VV,CDM,64,59,63,62,64,64,61,59,64,63,62,64,56,63,63,64,61,59,64,63,62,64,56,63,63,56
H. Choudhury,19,England,65,76,Leicester City,CM,57,65,64,55,59,57,62,65,59,64,55,57,54,55,62,57,62,65,59,64,55,57,54,55,62,54
P. Velasco,24,Ecuador,65,69,,RB,52,59,59,51,53,52,64,59,53,59,51,57,47,54,63,52,64,59,53,59,51,57,47,54,63,47
M. Marić,21,Croatia,65,77,Lillestrøm SK,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
K. Oi,33,Japan,65,65,Júbilo Iwata,RB,38,64,57,37,44,38,60,64,44,57,37,42,40,39,57,38,60,64,44,57,37,42,40,39,57,40
M. Howard,30,England,65,65,Bolton Wanderers,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Horsfield,21,England,65,73,NAC Breda,LB,60,63,65,58,62,60,64,63,62,65,58,61,54,59,65,60,64,63,62,65,58,61,54,59,65,54
Baek Dong Gyu,26,Korea Republic,65,67,Jeju United FC,CB,47,64,60,47,52,47,58,64,52,60,47,48,48,45,57,47,58,64,52,60,47,48,48,45,57,48
Wesley,22,Brazil,65,72,Estoril Praia,CDM,55,64,64,54,58,55,64,64,58,64,54,57,53,55,63,55,64,64,58,64,54,57,53,55,63,53
Felipe,24,Spain,65,71,AD Alcorcón,RWB,56,63,62,54,58,56,64,63,58,62,54,58,52,57,64,56,64,63,58,62,54,58,52,57,64,52
J. Restrepo,39,Colombia,65,65,Águilas Doradas,CM,62,65,64,61,63,62,62,65,63,64,61,59,60,60,61,62,62,65,63,64,61,59,60,60,61,60
P. Míguez,30,Uruguay,65,65,Puebla,CM,63,62,64,62,64,63,62,62,64,64,62,63,61,61,63,63,62,62,64,64,62,63,61,61,63,61
R. Córdoba,27,Colombia,65,67,Jaguares Fútbol Club,CB,35,64,53,37,39,35,55,64,39,53,37,38,41,37,52,35,55,64,39,53,37,38,41,37,52,41
Ibson Melo,27,Brazil,65,65,CS Marítimo,LW,63,42,47,64,57,63,49,42,57,47,64,64,63,65,52,63,49,42,57,47,64,64,63,65,52,63
W. Jordán,26,Colombia,65,67,Grupo Desportivo de Chaves,ST,61,41,48,62,59,61,44,41,59,48,62,60,64,60,46,61,44,41,59,48,62,60,64,60,46,64
C. Logan,31,Republic of Ireland,65,65,Mansfield Town,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Palacios,25,Colombia,65,68,CD America de Cali,RB,60,59,60,58,61,60,65,59,61,60,58,64,53,61,66,60,65,59,61,60,58,64,53,61,66,53
Ermel,22,Brazil,65,74,CD Feirense,CAM,62,37,43,65,54,62,48,37,54,43,65,64,63,66,50,62,48,37,54,43,65,64,63,66,50,63
Robert Costa,23,Spain,65,75,RC Celta de Vigo,CB,44,64,60,43,50,44,59,64,50,60,43,45,46,42,56,44,59,64,50,60,43,45,46,42,56,46
P. Tavima,31,Colombia,65,65,Alianza Petrolera,CB,44,64,60,42,49,44,55,64,49,60,42,44,43,41,54,44,55,64,49,60,42,44,43,41,54,43
N. Olij,21,Netherlands,65,75,AZ Alkmaar,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
M. Ogbu,26,Nigeria,65,68,IK Sirius,ST,62,48,49,63,57,62,48,48,57,49,63,62,64,63,50,62,48,48,57,49,63,62,64,63,50,64
D. Burnić,19,Germany,65,79,VfB Stuttgart,LB,63,60,64,61,64,63,63,60,64,64,61,64,56,62,64,63,63,60,64,64,61,64,56,62,64,56
M. Terrier,20,France,65,77,RC Strasbourg,LW,64,40,45,64,57,64,47,40,57,45,64,64,62,65,50,64,47,40,57,45,64,64,62,65,50,62
S. Rafn,25,Norway,65,68,Lillestrøm SK,RM,61,55,59,60,60,61,60,55,60,59,60,64,56,62,62,61,60,55,60,59,60,64,56,62,62,56
P. Santillo,37,Argentina,65,65,Arsenal de Sarandí,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
J. Bolingi,23,DR Congo,65,71,Royal Excel Mouscron,ST,59,42,42,62,53,59,43,42,53,42,62,59,64,60,44,59,43,42,53,42,62,59,64,60,44,64
N. Burns,29,Australia,65,65,Sanfrecce Hiroshima,LM,64,55,57,65,62,64,59,55,62,57,65,65,64,65,60,64,59,55,62,57,65,65,64,65,60,64
P. Terracciano,27,Italy,65,65,Empoli,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
A. Damen,27,Netherlands,65,67,Excelsior,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
V. Sakor,21,Norway,65,75,IFK Göteborg,CAM,63,63,64,61,64,63,61,63,64,64,61,63,59,62,62,63,61,63,64,64,61,63,59,62,62,59
C. Luyindama,23,DR Congo,65,70,Standard de Liège,CB,51,67,64,49,57,51,61,67,57,64,49,50,49,47,59,51,61,67,57,64,49,50,49,47,59,49
G. Figliomeni,30,Italy,65,65,Foggia,RB,41,64,58,41,47,41,55,64,47,58,41,41,43,39,53,41,55,64,47,58,41,41,43,39,53,43
F. Melara,31,Italy,65,65,Benevento Calcio,CAM,62,55,56,62,60,62,57,55,60,56,62,64,62,63,58,62,57,55,60,56,62,64,62,63,58,62
L. Ochoa,32,Colombia,65,65,Atlético Bucaramanga,RB,60,63,62,60,60,60,64,63,60,62,60,61,60,61,64,60,64,63,60,62,60,61,60,61,64,60
G. Castrovilli,20,Italy,65,79,Cremonese,CM,64,49,55,62,60,64,55,49,60,55,62,62,58,63,55,64,55,49,60,55,62,62,58,63,55,58
A. Maitland-Niles,19,England,65,78,Arsenal,CM,63,58,63,61,63,63,62,58,63,63,61,64,58,63,64,63,62,58,63,63,61,64,58,63,64,58
G. Nepomuceno,24,Curacao,65,70,Oldham Athletic,RM,63,39,45,64,57,63,48,39,57,45,64,64,64,65,51,63,48,39,57,45,64,64,64,65,51,64
A. Grant,30,England,65,65,Peterborough United,CM,62,64,66,61,64,62,64,64,64,66,61,63,59,61,64,62,64,64,64,66,61,63,59,61,64,59
D. McDermott,27,Republic of Ireland,65,65,Swindon Town,RM,63,40,47,63,58,63,48,40,58,47,63,64,61,64,51,63,48,40,58,47,63,64,61,64,51,61
C. Evina,25,Cameroon,65,69,Crawley Town,LWB,61,63,62,59,60,61,64,63,60,62,59,63,57,62,65,61,64,63,60,62,59,63,57,62,65,57
L. Vignali,21,Italy,65,76,La Spezia,CM,63,62,63,63,64,63,64,62,64,63,63,65,61,64,65,63,64,62,64,63,63,65,61,64,65,61
E. Löwen,20,Germany,65,75,1. FC Nürnberg,CM,62,64,64,62,63,62,62,64,63,64,62,63,61,61,63,62,62,64,63,64,62,63,61,61,63,61
D. Luppi,26,Italy,65,65,Virtus Entella,RW,66,37,46,66,60,66,46,37,60,46,66,67,64,68,50,66,46,37,60,46,66,67,64,68,50,64
I. Austbø,32,Norway,65,65,Viking FK,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
T. Loska,21,Poland,65,72,Górnik Zabrze,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
S. Rapp,24,Switzerland,65,71,FC Thun,LM,58,42,41,62,52,58,46,42,52,41,62,61,64,61,47,58,46,42,52,41,62,61,64,61,47,64
Y. Ahmed,23,Qatar,65,70,C.D. Leonesa S.A.D.,CB,45,64,58,45,48,45,61,64,48,58,45,47,46,46,58,45,61,64,48,58,45,47,46,46,58,46
P. Cáceres,32,Uruguay,65,65,Puebla,LB,54,65,62,54,56,54,64,65,56,62,54,57,55,55,63,54,64,65,56,62,54,57,55,55,63,55
M. Theo,36,Australia,65,65,Brisbane Roar,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
R. Meara,26,Republic of Ireland,65,68,New York Red Bulls,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
F. Soldano,22,Argentina,65,73,Unión de Santa Fe,ST,60,39,40,62,53,60,41,39,53,40,62,58,64,60,43,60,41,39,53,40,62,58,64,60,43,64
D. Ball,27,England,65,66,Rotherham United,CAM,62,38,43,64,55,62,44,38,55,43,64,60,64,62,46,62,44,38,55,43,64,60,64,62,46,64
A. Thompson,24,Northern Ireland,65,71,Bradford City,CB,48,64,61,47,53,48,63,64,53,61,47,52,46,49,62,48,63,64,53,61,47,52,46,49,62,46
Lee Myung Joo,27,Korea Republic,65,66,FC Seoul,CAM,66,63,64,65,65,66,63,63,65,64,65,65,64,66,63,66,63,63,65,64,65,65,64,66,63,64
A. Balboa,23,Uruguay,65,72,Club Atlético Patronato,ST,59,41,43,61,54,59,39,41,54,43,61,57,64,58,41,59,39,41,54,43,61,57,64,58,41,64
S. Dražić,24,Serbia,65,69,KV Mechelen,ST,62,42,44,64,55,62,43,42,55,44,64,60,64,62,46,62,43,42,55,44,64,60,64,62,46,64
Kim Oh Gyu,28,Korea Republic,65,65,Gangwon FC,CB,52,64,63,50,58,52,61,64,58,63,50,52,51,49,60,52,61,64,58,63,50,52,51,49,60,51
M. Mohsen,28,Egypt,65,65,,ST,57,39,39,61,50,57,40,39,50,39,61,58,64,59,43,57,40,39,50,39,61,58,64,59,43,64
E. Kobozev,27,Russia,65,69,Jönköpings Södra IF,GK,,,,,,,,,,,,,,,,,,,,,,,,,,
R. Gergel,29,Slovakia,65,65,Termalica Bruk-Bet Nieciecza,RM,62,54,58,63,61,62,59,54,61,58,63,64,63,63,61,62,59,54,61,58,63,64,63,63,61,63
